token	weight	state_id
aiagözge	201	47811
aiaimyn	209	61717
aiajan	231	61054
aiajanda	209	63273
aiajannan	208	61057
aiaköz	173	14720
aial	216	44134
aiala	231	47791
aialany	201	47793
aialanyñ	201	48305
aialau	207	58418
aialağa	203	51413
aialdama	204	53733
aialdamada	223	86493
aialy	198	44135
aiama	190	30308
aiamai	231	30309
aiamaidy	189	30311
aiamaimyn	190	31716
aiamaityn	206	57321
aiamas	220	82112
aian	231	20105
aiana	231	68690
aianat	231	68691
aianattyñ	212	68694
aianbai	201	48354
aiandy	194	37984
aianmen	204	53627
aiannyñ	190	32455
aianyşty	180	20109
aianğa	194	36950
aiap	231	96198
aiaq	231	2293
aiaqasty	217	76521
aiaqastynan	230	93668
aiaqkiım	201	47640
aiaqpen	175	16116
aiaqqa	164	9670
aiaqqap	207	59060
aiaqsyz	204	53968
aiaqta	184	2295
aiaqtady	195	39133
aiaqtadym	196	40189
aiaqtadyq	214	71957
aiaqtadyñ	217	77973
aiaqtai	196	34300
aiaqtaidy	214	72374
aiaqtaimyn	214	71244
aiaqtaimyz	192	34303
aiaqtalady	174	15828
aiaqtalatyn	198	42798
aiaqtaldy	139	2298
aiaqtalmağan	200	46108
aiaqtalu	214	46772
aiaqtaluy	200	46773
aiaqtaluğa	214	71243
aiaqtalyp	186	27149
aiaqtalğan	178	18706
aiaqtalğannan	207	58085
aiaqtalğanşa	219	80043
aiaqtan	182	22450
aiaqtap	159	7518
aiaqtar	200	31277
aiaqtary	189	31278
aiaqtarym	205	54449
aiaqtaryn	199	44491
aiaqtaryna	218	78103
aiaqtaryñ	220	82224
aiaqtau	177	18167
aiaqtağan	195	39400
aiaqtağy	221	84186
aiaqty	160	7811
aiaqtyñ	175	16035
aiar	229	31587
aiaru	231	31588
aiarudyñ	190	31591
aiaruğa	199	45124
aiasy	197	10870
aiasyn	195	10871
aiasynan	206	56762
aiasynda	166	10873
aiat	157	6478
aiatty	215	72721
aiaty	216	75814
aiau	231	30140
aiauda	206	56249
aiaudyñ	189	30143
aiauka	231	96421
aiauly	231	40720
aiaulym	231	40721
aiaulymmen	207	58042
aiaulymğa	196	40723
aiaumen	194	37698
aiausyz	207	58936
aiauşylyq	202	50296
aiaz	142	2781
aiazata	218	78197
aiazdy	207	58457
aiañ	218	78507
aiağa	208	42702
aiağan	198	42703
aiağy	231	10899
aiağym	231	10900
aiağyma	180	20738
aiağymda	204	52721
aiağymdy	166	10902
aiağymen	195	39549
aiağymnan	204	54329
aiağymnyñ	205	55879
aiağymyz	217	77878
aiağyn	231	27678
aiağyna	231	27679
aiağynan	186	27680
aiağynda	231	60952
aiağyndağy	208	60954
aiağynyñ	195	39138
aiağyñ	231	14431
aiağyña	185	25174
aiağyñdy	172	14433
aiağyñmen	217	76549
aiağyñnan	208	60577
aiağyñnyñ	214	72153
aiağyñyz	196	40155
aiağyñyzdy	205	54811
aiaş	167	11311
aibai	196	40915
aibalta	218	78655
aibanu	196	40504
aibar	231	43040
aibardy	212	62466
aibardyñ	209	62467
aibarly	216	76022
aibarğa	210	64440
aibarşa	198	43042
aibarşyn	209	62585
aibat	231	52848
aibatty	213	69626
aibatyr	204	52850
aibek	231	23174
aibekke	183	23176
aibekpen	196	41120
aibekte	210	57407
aibekten	206	57408
aibektı	199	44379
aibi	202	28081
aibibı	187	28083
