token	emoji	emoji_id	group_id	state_id
jymiiu	😄	55	3	97703
zakreptegı	📌	63	3	97709
iia	😂	1	3	97710
kariia	👴	69	3	97712
kelımsek	👽	70	3	97715
krasavitsa	😍	74	3	97718
kudri	👩‍🦱	75	3	97720
külımdeu	😏	80	3	97721
külımsıreu	😃	81	3	97722
liubliu	❤	8	3	97725
masairağan	😎	86	3	97731
miru	🌍	92	3	97732
monokl	🧐	93	3	97734
moia	❤	8	3	97735
müsınder	👥	97	3	97736
ofitser	👮‍♀️	106	3	97740
programmist	👩‍💻	112	3	97743
rahmeeet	😘	21	3	97746
renju	🙎‍♂️	113	3	97747
robot	🤖	114	3	97749
sagat	⏰	115	3	97752
salamatsyzba	🙋	116	3	97754
saliut	🖖	117	3	97756
selfi	🤳	119	3	97758
spasibo	❤	8	3	97762
suiem	💋	84	3	97765
süidım	😗	127	3	97766
söileuşı	🗣	132	3	97768
tañqalu	😨	136	3	97769
tebia	❤	8	3	97771
tyrqyldau	🤣	30	3	97772
töñkerılmelı	💁	145	3	97777
uou	🤩	147	3	97779
uf	😅	148	3	97780
şakyramyn	👭	153	3	97787
şärpı	👳‍♀️	158	3	97789
yzalanu	😡	159	3	97790
yrjiiu	🙂	161	3	97794
yrjyñdau	😁	162	3	97799
ielf	🧝‍♀️	164	3	97800
iemotsiiasyz	😑	165	3	97809
ğyzmetker	👨‍🏭	170	3	97816
qansorğyş	🧛‍♂️	175	3	97820
qymsynu	😊	34	3	97824
ūialu	😕	194	3	97825
ändetu	👩‍🎤	197	3	97826
ätten	😥	200	3	97827
ökınbeisızder	💸	134	3	97830
