emoji_id	emoji	unicode_sequence
1	👇	1f447
2	👍	1f44d
3	😔	1f614
4	😄	1f604
5	🎂	1f382
6	👏	1f44f
7	😭	1f62d
8	😂	1f602
9	💕	1f495
10	🌹	1f339
11	💝	1f49d
12	😁	1f601
13	💪	1f4aa
14	😍	1f60d
15	😝	1f61d
16	😃	1f603
17	😊	1f60a
