token	weight	state_id
ءاۋىرەلەپ	224	103696
ءاۋەلى	192	25385
ءاۋەلەي	224	104070
ءباتيما	220	113329
ءبار	199	3354
ءبارلىق	230	105536
ءبارى	142	3355
ءبارىبىر	221	78429
ءبارىدە	216	66708
ءبارىمىز	193	25285
ءبارىمىزدى	229	93542
ءبارىمىزدە	225	85371
ءبارىمىزگە	227	100705
ءبارىن	158	6610
ءبارىندە	224	86076
ءبارىنىڭ	214	65464
ءبارىنە	198	29092
ءبارىنەن	216	66020
ءبارىڭ	206	43934
ءباسە	197	30525
ءبالكىم	216	75560
ءباي	199	25752
ءبورى	228	106061
ءبول	180	16184
ءبولىم	214	82536
ءبولىمى	226	82537
ءبولىنىپ	218	83741
ءبولىپ	182	16186
ءبولەك	224	88440
ءبىتتى	200	36240
ءبىتتي	220	71077
ءبىتىرىپ	201	35374
ءبىتىپ	202	40164
ءبىتي	224	85990
ءبىر	102	606
ءبىرادام	218	79970
ءبىراز	159	6633
ءبىرازدان	204	39447
ءبىراق	148	4398
ءبىراقتا	212	56326
ءبىراي	222	88413
ءبىرتالاي	225	87656
ءبىرتۇرلى	219	88468
ءبىردى	217	73032
ءبىردە	213	21320
ءبىردەمە	189	21322
ءبىردەن	214	64188
ءبىردەي	224	97873
ءبىردەڭە	199	31753
ءبىركۇن	225	92809
ءبىرنشى	218	65311
ءبىرنەشە	213	56512
ءبىرى	185	14670
ءبىرىمىزدى	220	87408
ءبىرىن	204	14671
ءبىرىنشى	181	14673
ءبىرىنە	227	109004
ءبىرىڭ	222	99986
ءبىرگە	170	6405
ءبىرەر	208	49219
ءبىرەسە	222	87148
ءبىرەكى	225	104653
ءبىرەۋ	177	13486
ءبىرەۋدى	215	60050
ءبىرەۋدىڭ	211	60051
ءبىرەۋدەن	221	74175
ءبىرەۋمەن	226	107250
ءبىرەۋى	205	40877
ءبىرەۋىن	216	56981
ءبىرەۋگە	209	49762
ءبىز	144	3928
ءبىزبەن	224	103160
ءبىزدى	183	7556
ءبىزدىكى	211	55108
ءبىزدىڭ	160	7557
ءبىزدە	179	16000
ءبىزدەن	211	55973
ءبىزگە	190	23720
ءبىل	184	12839
ءبىلدىرىپ	215	99461
ءبىلدىم	198	35711
ءبىلسىن	208	46644
ءبىلسەڭ	228	111324
ءبىلمەدىم	218	71034
ءبىلمەي	210	46223
ءبىلمەيدى	229	109627
ءبىلمەيمىن	206	46226
ءبىلمەيىم	221	87784
ءبىلىم	200	44667
ءبىلىپ	174	12841
ءبىلەدى	213	53975
ءبىلەسىڭ	213	60854
ءبىلەم	210	46216
ءبىلەمىن	222	100166
ءبيتىپ	221	77941
ءبۇگىن	217	70313
ءتاتتى	154	4623
ءتاتتىسىڭ	214	74244
ءتاتتىم	160	6868
ءتارتىپ	222	85553
ءتاسىر	216	60110
ءتاسىرى	224	89146
ءتاسىلى	213	75927
ءتان	202	38527
ءتاپ	198	33453
ءتاڭىر	225	94320
ءتاڭەرتەڭ	207	47752
ءتاۋبا	198	28953
ءتاۋىر	206	36655
ءتور	210	10242
ءتورت	174	10243
ءتورتىنشى	218	50719
ءتورىت	210	40636
ءتوك	215	64401
ءتىرى	192	26099
ءتىس	200	29902
ءتىسىم	222	94131
ءتىل	180	16373
ءتىلدى	224	97302
ءتىلى	205	46258
ءتىلىم	224	104543
ءتىلىمدى	225	104545
ءتىلىن	213	60373
ءتىلىڭ	223	92985
ءتىلىڭدى	221	92987
ءتىپتى	166	8948
ءتيستى	225	101004
ءتيىستى	215	71709
ءتيىمدى	226	88482
ءتيىپ	203	36047
ءتپتى	200	37364
ءتۇبى	224	74080
ءتۇر	225	13778
ءتۇرت	222	76552
ءتۇرلى	177	13780
ءتۇرى	206	42366
ءتۇرىن	227	98393
ءتۇزۋ	220	93171
ءتۇس	184	16920
ءتۇستى	216	64760
ءتۇستىم	228	105334
ءتۇستەن	226	108294
ءتۇسىرىپ	216	60467
ءتۇسىنىپ	200	59407
ءتۇسىپ	182	18779
ءتۇن	175	12299
ءتۇندە	211	61030
ءجا	196	12487
ءجارايدى	192	27061
ءجان	227	37702
ءجانىم	213	37704
ءجاي	174	12488
ءجايشا	227	107434
ءجايلى	203	35515
ءجاڭە	225	91890
ءجون	169	10954
ءجوندەپ	225	90298
ءجونى	189	22006
ءجونىن	203	43309
ءجونىڭ	225	88013
ءجونىڭدى	222	88015
ءجىپ	224	103256
ءجۇر	170	13864
ءجۇرسىڭ	206	55604
ءجۇرمىز	223	104623
ءجۇرمىن	199	34766
ءجۇرىس	218	89661
ءجۇرىپ	188	25101
ءجۇز	189	25257
ءجۇن	218	80774
ءداتىڭ	223	92396
ءدارسى	218	51263
ءدارسىن	212	51264
ءدارى	146	3855
ءدارىدەن	226	87499
ءدارىسى	201	26904
ءدارىسىن	198	26905
ءدارىم	226	82783
